case,pen_pct,k2,ieee2800,branch,fault_bus,fault_type,zone_classical,zone_ibr,direc_classical,direc_ibr,i2_classical,i2_ibr,t_oc_classical,t_oc_ibr,n_misoperations,flag_zone_changed,flag_lost_distance_trip,flag_zone1_reach_lost,flag_directional_lost,flag_directional_reversed,flag_lost_oc_pickup,flag_slower_oc
case14,65.4,4,yes,1-5,5,SLG,2,2,forward,forward,0.666513,0.244491,5.56887,3.13864,0,False,False,False,False,False,False,False
case14,65.4,4,yes,2-5,5,SLG,2,2,forward,forward,0.503049,0.227741,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,4-5,5,SLG,2,2,forward,forward,0.613637,0.45085,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,5-6,5,SLG,1,1,reverse,reverse,0.0872864,0.198103,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-10,9,LL,1,1,reverse,reverse,0.389815,0.133843,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-10,9,LLG,1,1,reverse,reverse,0.398934,0.13756,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,9,LL,1,1,reverse,reverse,0.266204,0.0914013,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,9,LLG,1,1,reverse,reverse,0.272431,0.0939393,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-9,9,LL,2,2,forward,forward,0.523721,0.17982,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-9,9,LLG,2,2,forward,forward,0.535973,0.184813,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,7-9,9,LL,2,2,forward,forward,0.896547,0.30783,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,7-9,9,LLG,2,2,forward,forward,0.917521,0.316378,2.77499,inf,1,False,False,False,False,False,True,False
case14,65.4,0,no,9-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,9-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,14,LL,2,2,forward,forward,0.765886,0.260286,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,9-14,14,LL,2,2,forward,forward,0.765886,0.301358,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,14,LLG,2,2,forward,forward,0.795117,0.271064,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,9-14,14,LLG,2,2,forward,forward,0.795117,0.311065,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,13-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,13-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,13-14,14,LL,2,2,forward,forward,0.505739,0.171875,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,13-14,14,LL,2,2,forward,forward,0.505739,0.211283,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,13-14,14,LLG,2,2,forward,forward,0.525041,0.178992,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,13-14,14,LLG,2,2,forward,forward,0.525041,0.218089,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,2-4,4,SLG,2,2,forward,forward,0.499884,0.259618,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,2-4,4,SLG,2,2,forward,forward,0.499884,0.196421,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,3-4,4,SLG,2,2,forward,forward,0.284433,0.147722,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,3-4,4,SLG,2,2,forward,forward,0.284433,0.187134,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-5,4,SLG,1,1,reverse,reverse,0.827466,0.42975,2.49032,8.77432,1,False,False,False,False,False,False,True
case14,65.4,4,yes,4-5,4,SLG,1,1,reverse,reverse,0.827466,0.385873,2.49032,6.73775,1,False,False,False,False,False,False,True
case14,65.4,0,no,4-7,4,SLG,1,1,reverse,no_decision,0.0626702,0.0325482,inf,inf,1,False,False,False,True,False,False,False
case14,65.4,4,yes,4-7,4,SLG,1,1,reverse,reverse,0.0626702,0.149392,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-9,4,SLG,1,1,no_decision,no_decision,0.0373436,0.0193947,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,4-9,4,SLG,1,1,no_decision,reverse,0.0373436,0.0570135,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,1-5,5,SLG,2,2,forward,forward,0.666513,0.244491,5.56887,3.13864,0,False,False,False,False,False,False,False
case14,65.4,4,yes,2-5,5,SLG,2,2,forward,forward,0.503049,0.227741,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,4-5,5,SLG,2,2,forward,forward,0.613637,0.45085,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,5-6,5,SLG,1,1,reverse,reverse,0.0872864,0.198103,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-10,9,LL,1,1,reverse,reverse,0.389815,0.133843,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-10,9,LLG,1,1,reverse,reverse,0.398934,0.13756,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,9,LL,1,1,reverse,reverse,0.266204,0.0914013,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,9,LLG,1,1,reverse,reverse,0.272431,0.0939393,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-9,9,LL,2,2,forward,forward,0.523721,0.17982,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,4-9,9,LLG,2,2,forward,forward,0.535973,0.184813,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,7-9,9,LL,2,2,forward,forward,0.896547,0.30783,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,7-9,9,LLG,2,2,forward,forward,0.917521,0.316378,2.77499,inf,1,False,False,False,False,False,True,False
case14,65.4,0,no,9-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,9-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,14,LL,2,2,forward,forward,0.765886,0.260286,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,9-14,14,LL,2,2,forward,forward,0.765886,0.301358,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,9-14,14,LLG,2,2,forward,forward,0.795117,0.271064,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,9-14,14,LLG,2,2,forward,forward,0.795117,0.311065,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,13-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,13-14,14,3LG,2,2,no_decision,no_decision,0,0,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,13-14,14,LL,2,2,forward,forward,0.505739,0.171875,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,13-14,14,LL,2,2,forward,forward,0.505739,0.211283,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,0,no,13-14,14,LLG,2,2,forward,forward,0.525041,0.178992,inf,inf,0,False,False,False,False,False,False,False
case14,65.4,4,yes,13-14,14,LLG,2,2,forward,forward,0.525041,0.218089,inf,inf,0,False,False,False,False,False,False,False
case39,40.6,0,no,15-16,16,3LG,2,2,no_decision,no_decision,0,0,0.338682,0.368555,0,False,False,False,False,False,False,False
case39,40.6,4,yes,15-16,16,3LG,2,2,no_decision,no_decision,0,0,0.338682,0.368555,0,False,False,False,False,False,False,False
case39,40.6,0,no,15-16,16,SLG,2,2,forward,forward,0.112039,0.099174,0.873314,1.25001,1,False,False,False,False,False,False,True
case39,40.6,4,yes,15-16,16,SLG,2,2,forward,forward,0.112039,0.0987184,0.873314,1.24959,1,False,False,False,False,False,False,True
case39,40.6,0,no,15-16,16,LL,2,2,forward,forward,8.66666,7.55728,0.349101,0.383077,0,False,False,False,False,False,False,False
case39,40.6,4,yes,15-16,16,LL,2,2,forward,forward,8.66666,7.65133,0.349101,0.380101,0,False,False,False,False,False,False,False
case39,40.6,0,no,15-16,16,LLG,2,2,forward,forward,8.64097,7.53449,0.350961,0.386117,0,False,False,False,False,False,False,False
case39,40.6,4,yes,15-16,16,LLG,2,2,forward,forward,8.64097,7.62862,0.350961,0.383151,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-17,16,3LG,1,1,no_decision,no_decision,0,0,0.299334,0.362232,1,False,False,False,False,False,False,True
case39,40.6,4,yes,16-17,16,3LG,1,1,no_decision,no_decision,0,0,0.299334,0.362232,1,False,False,False,False,False,False,True
case39,40.6,0,no,16-17,16,SLG,1,1,reverse,reverse,0.130888,0.115858,0.6422,0.47668,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-17,16,SLG,1,1,reverse,reverse,0.130888,0.125742,0.6422,0.476299,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-17,16,LL,1,1,reverse,reverse,10.1247,8.82865,0.310828,0.340264,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-17,16,LL,1,1,reverse,reverse,10.1247,9.74585,0.310828,0.329757,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-17,16,LLG,1,1,reverse,reverse,10.0947,8.80203,0.316088,0.341861,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-17,16,LLG,1,1,reverse,reverse,10.0947,9.71693,0.316088,0.331365,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-19,16,3LG,1,1,no_decision,no_decision,0,0,0.284659,0.293391,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-19,16,3LG,1,1,no_decision,no_decision,0,0,0.284659,0.293391,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-19,16,SLG,1,1,reverse,reverse,0.133736,0.118379,0.835776,0.71854,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-19,16,SLG,1,1,reverse,reverse,0.133736,0.114295,0.835776,0.718583,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-19,16,LL,1,1,reverse,reverse,10.345,9.02075,0.289976,0.297609,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-19,16,LL,1,1,reverse,reverse,10.345,8.85862,0.289976,0.29755,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-19,16,LLG,1,1,reverse,reverse,10.3143,8.99355,0.289855,0.297491,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-19,16,LLG,1,1,reverse,reverse,10.3143,8.83233,0.289855,0.297436,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-21,16,3LG,1,1,no_decision,no_decision,0,0,0.33206,0.343386,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-21,16,3LG,1,1,no_decision,no_decision,0,0,0.33206,0.343386,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-21,16,SLG,1,1,reverse,reverse,0.0979053,0.0866629,0.601939,0.581906,0,False,False,False,False,False,False,False
case39,40.6,4,yes,16-21,16,SLG,1,1,reverse,reverse,0.0979053,0.0836731,0.601939,0.581646,0,False,False,False,False,False,False,False
case39,40.6,0,no,16-21,16,LL,1,1,reverse,reverse,7.57334,6.6039,0.338249,0.346454,0,False,False,False,False,False,False,False
